NUM_OPER;FECHA_CORTE;PRODUCTO_COD;TIPOPERSONACOD;MONTOCREDITO;FECHACONCESION;FECHAVENCIMIENTO;PLAZO_ORIGINAL_MESES;PLAZO;MONTOCUOTA;PERIOD_PAGO;TIPOTASACOD;TASAINTERES;TIPOCREDITOCOD;CALIFICACIONCOD;SALDOCAPITAL_POR_VENCER;SALDOCAPITAL_VENCIDO;SALDOCAPITAL_ND;SALDOCAPITAL_JUDICIAL;SALDOCASTIGADO;SALDOTOTAL;DIASMORA;MORAMAXIMA;MORAPROMEDIO;NUMERORENEGOCIACION;NUMEROVECESMORA_30;NUMEROVECESMORA_60;NUMEROVECESMORA_90;NUMEROVECESMORA_180;NUMEROVECESMORA_360;NUMEROVECESMORA_MAS360
612;31/1/2020;PROD_2;N;10000.0;5/5/2017;10/5/2020;36;1101;289.42;MENS;V;16.0;CONSUMO;A1;1186.23;0.0;0.0;0.0;0;1186.23;0;2;1;0;0;0;0;0;0;0
613;31/1/2020;PROD_2;N;8000.0;5/5/2017;6/5/2020;36;1097;231.56;MENS;V;16.0;CONSUMO;A1;947.85;0.0;0.0;0.0;0;947.85;0;0;0;0;0;0;0;0;0;0
636;31/1/2020;PROD_2;N;20000.0;15/5/2017;28/5/2022;60;1839;407.96;MENS;V;16.0;CONSUMO;A2;10333.43;0.0;0.0;0.0;0;10333.43;3;35;10;0;2;0;0;0;0;0
662;31/1/2020;PROD_2;N;10000.0;22/5/2017;7/12/2020;43;1295;259.71;MENS;V;16.0;CONSUMO;A1;2675.2;0.0;0.0;0.0;0;2675.2;0;16;6;0;0;0;0;0;0;0
675;31/1/2020;PROD_2;N;20000.0;25/5/2017;7/6/2022;61;1839;405.44;MENS;V;16.0;CONSUMO;A3;9716.29;283.81;0.0;0.0;0;10000.1;15;79;16;0;1;0;0;0;0;0
705;31/1/2020;PROD_2;N;10000.0;6/6/2017;10/6/2020;36;1100;303.34;MENS;V;16.0;CONSUMO;E;0.0;1366.74;1944.38;3311.12;0;6622.24;205;205;63;0;4;1;1;1;0;0
715;31/1/2020;PROD_2;N;40000.0;8/6/2017;15/6/2022;60;1833;824.06;MENS;V;14.9;CONSUMO;E;0.0;2020.65;20666.57;22687.22;0;45374.44;169;169;65;0;2;4;2;0;0;0
730;31/1/2020;PROD_2;N;8000.0;13/6/2017;26/6/2021;48;1474;212.13;MENS;V;16.0;CONSUMO;E;0.0;2858.15;3333.24;6191.39;0;12382.78;615;615;264;0;0;0;0;0;1;224
735;31/1/2020;PROD_2;N;15000.0;13/6/2017;13/6/2021;48;1461;353.96;MENS;V;16.0;CONSUMO;A1;5377.23;0.0;0.0;0.0;0;5377.23;0;41;11;0;1;0;0;0;0;0
739;31/1/2020;PROD_2;N;16000.0;14/6/2017;15/6/2021;48;1462;382.56;MENS;V;16.0;CONSUMO;C2;0.0;1.86;6333.43;0.0;0;6335.29;77;77;14;0;2;1;0;0;0;0
744;31/1/2020;PROD_2;N;20000.0;16/6/2017;30/6/2022;60;1840;412.65;MENS;V;16.0;CONSUMO;D;0.0;333.33;10666.76;0.0;0;11000.09;93;94;29;0;7;3;2;0;0;0
761;31/1/2020;PROD_2;N;29500.0;19/6/2017;30/6/2020;36;1107;862.11;MENS;V;14.9;CONSUMO;B2;5132.76;603.48;0.0;0.0;0;5736.24;32;32;10;0;2;0;0;0;0;0
764;31/1/2020;PROD_2;N;9000.0;20/6/2017;20/6/2020;36;1096;278.31;MENS;V;16.0;CONSUMO;E;0.0;2000.0;1750.0;3750.0;0;7500.0;286;286;94;0;2;4;1;1;0;0
774;31/1/2020;PROD_2;N;4000.0;21/6/2017;21/12/2019;30;913;139.54;MENS;V;16.0;CONSUMO;E;0.0;311.97;133.43;0.0;0;445.4;132;132;56;0;2;2;6;0;0;0
777;31/1/2020;PROD_2;N;22000.0;22/6/2017;30/6/2022;60;1834;442.99;MENS;V;14.9;CONSUMO;B2;11056.48;310.09;0.0;0.0;0;11366.57;32;32;9;0;1;0;0;0;0;0
792;31/1/2020;PROD_2;N;3000.0;26/6/2017;5/7/2019;25;739;139.79;MENS;V;16.0;CONSUMO;E;0.0;1875.0;0.0;1875.0;0;3750.0;575;605;271;0;0;0;0;0;1;245
800;31/1/2020;PROD_2;N;10000.0;27/6/2017;27/12/2020;42;1279;254.76;MENS;V;16.0;CONSUMO;A1;1868.71;0.0;0.0;0.0;0;1868.71;0;37;14;0;1;0;0;0;0;0
834;31/1/2020;PROD_2;N;10000.0;7/7/2017;10/7/2020;36;1099;293.29;MENS;V;16.0;CONSUMO;A1;1739.08;0.0;0.0;0.0;0;1739.08;0;33;10;0;1;0;0;0;0;0
846;31/1/2020;PROD_2;N;8000.0;10/7/2017;10/7/2020;36;1096;234.65;MENS;V;16.0;CONSUMO;A1;1391.36;0.0;0.0;0.0;0;1391.36;0;1;1;0;0;0;0;0;0;0
849;31/1/2020;PROD_2;N;10000.0;11/7/2017;15/7/2022;60;1830;203.87;MENS;V;16.0;CONSUMO;B1;5023.86;142.71;0.0;0.0;0;5166.57;23;46;11;0;2;0;0;0;0;0
860;31/1/2020;PROD_2;N;8000.0;14/7/2017;16/7/2021;48;1463;177.05;MENS;V;16.0;CONSUMO;B2;1080.86;123.94;0.0;0.0;0;1204.8;41;43;12;0;1;0;0;0;0;0
876;31/1/2020;PROD_2;N;10000.0;18/7/2017;30/7/2021;48;1473;237.41;MENS;V;16.0;CONSUMO;A1;3792.24;0.0;0.0;0.0;0;3792.24;0;19;6;0;0;0;0;0;0;0
883;31/1/2020;PROD_2;N;10000.0;20/7/2017;5/8/2020;37;1112;295.23;MENS;V;16.0;CONSUMO;A1;2015.5;0.0;0.0;0.0;0;2015.5;0;22;8;0;0;0;0;0;0;0
887;31/1/2020;PROD_2;N;10000.0;21/7/2017;30/7/2021;48;1470;238.83;MENS;V;16.0;CONSUMO;A1;3999.58;0.0;0.0;0.0;0;3999.58;0;31;12;0;0;0;0;0;0;0
927;31/1/2020;PROD_2;N;9500.0;3/8/2017;5/2/2021;42;1282;249.91;MENS;V;16.0;CONSUMO;B2;2991.74;174.94;0.0;0.0;0;3166.68;31;61;16;0;2;0;0;0;0;0
941;31/1/2020;PROD_2;N;20000.0;10/8/2017;10/8/2022;60;1826;410.08;MENS;V;16.0;CONSUMO;A1;10379.7;0.0;0.0;0.0;0;10379.7;0;46;12;0;2;0;0;0;0;0
956;31/1/2020;PROD_2;N;30000.0;16/8/2017;26/8/2022;60;1836;614.2;MENS;V;14.9;CONSUMO;C1;16447.28;429.94;0.0;0.0;0;16877.22;66;66;14;0;3;1;0;0;0;0
957;31/1/2020;PROD_2;N;20000.0;17/8/2017;27/8/2021;48;1471;480.61;MENS;V;16.0;CONSUMO;B2;8413.48;336.43;0.0;0.0;0;8749.91;35;35;11;0;4;0;0;0;0;0
958;31/1/2020;PROD_2;N;10000.0;17/8/2017;17/8/2020;36;1096;295.23;MENS;V;16.0;CONSUMO;A1;2013.84;0.0;0.0;0.0;0;2013.84;0;10;4;0;0;0;0;0;0;0
961;31/1/2020;PROD_2;N;10000.0;17/8/2017;1/9/2020;37;1111;299.49;MENS;V;16.0;CONSUMO;C1;2568.08;209.64;0.0;0.0;0;2777.72;61;61;15;0;3;1;0;0;0;0
964;31/1/2020;PROD_2;N;12000.0;18/8/2017;20/8/2020;36;1098;354.3;MENS;V;16.0;CONSUMO;A1;2418.75;0.0;0.0;0.0;0;2418.75;0;6;2;0;0;0;0;0;0;0
968;31/1/2020;PROD_2;N;20000.0;18/8/2017;3/9/2022;61;1842;412.41;MENS;V;16.0;CONSUMO;A1;10711.4;0.0;0.0;0.0;0;10711.4;0;27;9;0;0;0;0;0;0;0
972;31/1/2020;PROD_2;N;10000.0;18/8/2017;2/9/2020;37;1111;297.24;MENS;V;16.0;CONSUMO;A1;2291.87;0.0;0.0;0.0;0;2291.87;0;3;1;0;0;0;0;0;0;0
973;31/1/2020;PROD_2;N;20000.0;22/8/2017;5/9/2021;49;1475;483.71;MENS;V;16.0;CONSUMO;C1;8827.98;338.6;0.0;0.0;0;9166.58;57;96;30;0;6;3;1;0;0;0
1007;31/1/2020;PROD_2;N;10000.0;30/8/2017;10/9/2020;37;1107;297.18;MENS;V;16.0;CONSUMO;B1;2291.91;208.03;0.0;0.0;0;2499.94;19;31;10;0;1;0;0;0;0;0
1012;31/1/2020;PROD_2;N;25000.0;31/8/2017;5/9/2021;49;1466;595.49;MENS;V;14.9;CONSUMO;A1;10520.75;0.0;0.0;0.0;0;10520.75;0;47;10;0;1;0;0;0;0;0
1018;31/1/2020;PROD_2;N;10000.0;4/9/2017;5/9/2020;36;1097;303.94;MENS;V;16.0;CONSUMO;D;0.0;554.57;2777.72;0.0;0;3332.29;118;143;54;0;3;4;4;0;0;0
1026;31/1/2020;PROD_2;N;10000.0;6/9/2017;6/9/2021;48;1461;260.61;MENS;V;16.0;CONSUMO;E;0.0;2645.73;4583.42;7229.15;0;14458.3;451;451;165;0;0;1;1;1;1;60
1053;31/1/2020;PROD_2;N;8000.0;14/9/2017;15/9/2020;36;1097;267.86;MENS;V;16.0;CONSUMO;E;0.0;3999.96;2222.28;6222.24;0;12444.48;534;564;270;0;0;0;0;0;1;204
1085;31/1/2020;PROD_2;N;8000.0;21/9/2017;5/10/2020;37;1110;239.31;MENS;V;16.0;CONSUMO;A1;2054.76;0.0;0.0;0.0;0;2054.76;0;13;4;0;0;0;0;0;0;0
1087;31/1/2020;PROD_2;N;5000.0;21/9/2017;5/10/2020;37;1110;149.56;MENS;V;16.0;CONSUMO;A1;1284.17;0.0;0.0;0.0;0;1284.17;0;40;11;0;1;0;0;0;0;0
1092;31/1/2020;PROD_2;N;8500.0;25/9/2017;5/10/2020;37;1106;258.04;MENS;V;16.0;CONSUMO;B1;0.0;7.54;2597.25;0.0;0;2604.79;26;56;15;0;1;0;0;0;0;0
1111;31/1/2020;PROD_2;N;10000.0;27/9/2017;5/10/2021;49;1469;211.36;MENS;V;16.0;CONSUMO;A1;0.0;0.0;0.0;0.0;0;0.0;0;178;50;0;1;1;2;0;0;0
1115;31/1/2020;PROD_2;N;5000.0;28/9/2017;7/4/2020;31;922;172.49;MENS;V;16.0;CONSUMO;A1;545.84;0.0;0.0;0.0;0;545.84;0;45;12;0;1;0;0;0;0;0
1127;31/1/2020;PROD_2;N;20000.0;29/9/2017;3/10/2021;49;1465;483.55;MENS;V;16.0;CONSUMO;A1;8828.09;0.0;0.0;0.0;0;8828.09;0;40;10;0;1;0;0;0;0;0
1137;31/1/2020;PROD_2;N;10000.0;3/10/2017;5/10/2021;48;1463;241.79;MENS;V;16.0;CONSUMO;A1;4414.17;0.0;0.0;0.0;0;4414.17;0;1;1;0;0;0;0;0;0;0
1138;31/1/2020;PROD_2;N;15000.0;3/10/2017;18/10/2020;36;1111;448.68;MENS;V;16.0;CONSUMO;A1;3852.5;0.0;0.0;0.0;0;3852.5;0;141;36;0;1;1;1;0;0;0
1141;31/1/2020;PROD_2;N;18000.0;4/10/2017;5/10/2020;36;1097;538.43;MENS;V;16.0;CONSUMO;A1;4620.24;0.0;0.0;0.0;0;4620.24;0;2;1;0;0;0;0;0;0;0
1156;31/1/2020;PROD_2;N;4500.0;11/10/2017;13/10/2020;36;1098;134.61;MENS;V;16.0;CONSUMO;A1;1155.77;0.0;0.0;0.0;0;1155.77;0;70;17;0;3;1;0;0;0;0
1160;31/1/2020;PROD_2;N;10000.0;12/10/2017;12/10/2020;36;1096;312.82;MENS;V;16.0;CONSUMO;E;0.0;1666.68;3055.5;4722.18;0;9444.36;233;233;56;0;3;1;1;1;0;0
1169;31/1/2020;PROD_2;N;5000.0;16/10/2017;1/11/2020;37;1112;150.54;MENS;V;16.0;CONSUMO;A2;1422.37;105.38;0.0;0.0;0;1527.75;7;7;1;0;0;0;0;0;0;0
1184;31/1/2020;PROD_2;N;10000.0;20/10/2017;4/11/2021;49;1476;243.24;MENS;V;16.0;CONSUMO;A1;4621.48;0.0;0.0;0.0;0;4621.48;0;70;23;0;5;1;0;0;0;0
1194;31/1/2020;PROD_2;N;12000.0;21/10/2017;21/4/2021;42;1278;319.66;MENS;V;16.0;CONSUMO;A1;4347.78;0.0;0.0;0.0;0;4347.78;0;3;1;0;0;0;0;0;0;0
1197;31/1/2020;PROD_2;N;5000.0;21/10/2017;27/4/2020;30;919;173.69;MENS;V;16.0;CONSUMO;B2;711.67;121.58;0.0;0.0;0;833.25;35;307;112;0;2;0;1;1;0;0
1202;31/1/2020;PROD_2;N;20000.0;24/10/2017;5/11/2022;61;1838;417.05;MENS;V;16.0;CONSUMO;A1;11374.82;0.0;0.0;0.0;0;11374.82;0;77;18;0;3;1;0;0;0;0
1205;31/1/2020;PROD_2;N;15000.0;25/10/2017;5/11/2022;61;1837;337.39;MENS;V;16.0;CONSUMO;E;0.0;3224.79;9000.0;12224.79;0;24449.58;452;452;170;0;0;1;1;1;1;61
1220;31/1/2020;PROD_2;N;20000.0;27/10/2017;27/10/2022;60;1826;417.01;MENS;V;16.0;CONSUMO;B2;11374.84;291.91;0.0;0.0;0;11666.75;35;35;10;0;2;0;0;0;0;0
1221;31/1/2020;PROD_2;N;15000.0;27/10/2017;5/11/2022;61;1835;312.79;MENS;V;16.0;CONSUMO;A1;8531.05;0.0;0.0;0.0;0;8531.05;0;3;1;0;0;0;0;0;0;0
1223;31/1/2020;PROD_2;N;8000.0;27/10/2017;29/10/2020;36;1098;240.84;MENS;V;16.0;CONSUMO;B2;2275.91;168.59;0.0;0.0;0;2444.5;33;42;15;0;3;0;0;0;0;0
1224;31/1/2020;PROD_2;N;10000.0;28/10/2017;5/5/2021;43;1285;259.74;MENS;V;16.0;CONSUMO;A1;2461.14;0.0;0.0;0.0;0;2461.14;0;106;45;0;0;0;0;0;0;0
1227;31/1/2020;PROD_2;N;5000.0;30/10/2017;30/4/2020;30;913;172.47;MENS;V;16.0;CONSUMO;A1;540.54;0.0;0.0;0.0;0;540.54;0;2;1;0;0;0;0;0;0;0
1286;31/1/2020;PROD_2;N;10000.0;17/11/2017;30/11/2021;48;1474;240.9;MENS;V;14.9;CONSUMO;A1;4623.12;0.0;0.0;0.0;0;4623.12;0;1;1;0;0;0;0;0;0;0
1290;31/1/2020;PROD_2;N;15000.0;20/11/2017;5/12/2020;37;1111;451.99;MENS;V;14.9;CONSUMO;B2;4683.53;316.39;0.0;0.0;0;4999.92;34;149;46;0;4;2;1;0;0;0
1291;31/1/2020;PROD_2;N;15000.0;20/11/2017;20/11/2021;48;1461;373.78;MENS;V;14.9;CONSUMO;E;0.0;1388.57;7500.0;8888.57;0;17777.14;134;164;51;0;1;1;1;0;0;0
1295;31/1/2020;PROD_2;N;20000.0;20/11/2017;4/12/2021;49;1475;487.37;MENS;V;14.9;CONSUMO;A1;10075.43;0.0;0.0;0.0;0;10075.43;0;47;18;0;5;0;0;0;0;0
1298;31/1/2020;PROD_2;N;20000.0;21/11/2017;5/12/2020;37;1110;609.9;MENS;V;14.9;CONSUMO;C2;0.0;555.56;7222.12;0.0;0;7777.68;87;87;17;0;2;1;0;0;0;0
1306;31/1/2020;PROD_2;N;4000.0;22/11/2017;7/6/2020;31;928;144.65;MENS;V;14.9;CONSUMO;E;0.0;666.65;933.41;0.0;0;1600.06;147;232;83;0;1;2;2;1;0;0
1317;31/1/2020;PROD_2;N;10000.0;24/11/2017;1/12/2021;49;1468;240.86;MENS;V;14.9;CONSUMO;A1;4614.85;0.0;0.0;0.0;0;4614.85;0;9;3;0;0;0;0;0;0;0
1319;31/1/2020;PROD_2;N;5000.0;24/11/2017;1/12/2020;37;1103;150.68;MENS;V;14.9;CONSUMO;A1;1561.16;0.0;0.0;0.0;0;1561.16;0;3;1;0;0;0;0;0;0;0
1346;31/1/2020;PROD_2;N;50000.0;30/11/2017;30/11/2022;60;1826;1033.91;MENS;V;14.9;CONSUMO;B2;29276.34;723.74;0.0;0.0;0;30000.08;32;35;13;0;5;0;0;0;0;0
1363;31/1/2020;PROD_2;N;5000.0;1/12/2017;5/12/2019;24;734;216.07;MENS;V;14.9;CONSUMO;C2;0.0;72.07;208.41;0.0;0;280.48;87;87;28;0;3;2;0;0;0;0
1372;31/1/2020;PROD_2;N;10000.0;6/12/2017;10/12/2020;36;1100;301.33;MENS;V;14.9;CONSUMO;A1;3122.35;0.0;0.0;0.0;0;3122.35;0;13;4;0;0;0;0;0;0;0
1387;31/1/2020;PROD_2;N;6000.0;7/12/2017;7/6/2021;42;1278;175.5;MENS;V;14.9;CONSUMO;E;0.0;2034.41;2714.22;4748.63;0;9497.26;511;511;209;0;0;0;0;1;1;120
1388;31/1/2020;PROD_2;N;10000.0;7/12/2017;7/12/2021;48;1461;242.27;MENS;V;14.9;CONSUMO;A1;4830.49;0.0;0.0;0.0;0;4830.49;0;23;8;0;0;0;0;0;0;0
1408;31/1/2020;PROD_2;N;30000.0;15/12/2017;15/12/2021;48;1461;726.79;MENS;V;14.9;CONSUMO;A2;14491.25;508.75;0.0;0.0;0;15000.0;6;6;1;0;0;0;0;0;0;0
1434;31/1/2020;PROD_2;N;7000.0;22/12/2017;5/1/2021;37;1110;217.33;MENS;V;14.9;CONSUMO;E;0.0;583.32;2722.32;3305.64;0;6611.28;148;148;39;0;3;1;1;0;0;0
1443;31/1/2020;PROD_2;N;7000.0;26/12/2017;10/1/2021;37;1111;212.21;MENS;V;14.9;CONSUMO;A1;2379.33;0.0;0.0;0.0;0;2379.33;0;49;12;0;1;0;0;0;0;0
1444;31/1/2020;PROD_2;N;28000.0;26/12/2017;5/1/2023;61;1836;639.96;MENS;V;14.9;CONSUMO;E;0.0;8400.06;17733.26;26133.32;0;52266.64;605;605;262;0;0;0;0;0;1;214
1451;31/1/2020;PROD_2;N;15000.0;28/12/2017;5/1/2022;49;1469;365.43;MENS;V;14.9;CONSUMO;A1;7556.7;0.0;0.0;0.0;0;7556.7;0;85;17;0;2;1;0;0;0;0
1454;31/1/2020;PROD_2;N;20000.0;29/12/2017;1/1/2023;61;1829;415.81;MENS;V;14.9;CONSUMO;A1;12042.34;0.0;0.0;0.0;0;12042.34;0;29;8;0;0;0;0;0;0;0
1463;31/1/2020;PROD_2;N;5000.0;3/1/2018;5/1/2021;36;1098;151.57;MENS;V;14.9;CONSUMO;A1;1699.43;0.0;0.0;0.0;0;1699.43;0;61;15;0;1;1;0;0;0;0
1470;31/1/2020;PROD_2;N;20000.0;6/1/2018;6/1/2023;60;1826;429.49;MENS;V;14.9;CONSUMO;E;0.0;1666.65;12666.74;0.0;0;14333.39;209;209;46;0;1;1;1;1;0;0
1481;31/1/2020;PROD_2;N;20000.0;10/1/2018;15/1/2022;48;1466;484.43;MENS;V;14.9;CONSUMO;A1;9459.5;0.0;0.0;0.0;0;9459.5;0;0;0;0;0;0;0;0;0;0
1497;31/1/2020;PROD_2;N;13000.0;13/1/2018;15/1/2022;48;1463;316.71;MENS;V;14.9;CONSUMO;A1;6549.21;0.0;0.0;0.0;0;6549.21;0;74;19;0;3;2;0;0;0;0
1531;31/1/2020;PROD_2;N;5000.0;24/1/2018;6/2/2021;37;1109;154.43;MENS;V;14.9;CONSUMO;C2;0.0;108.57;2083.31;0.0;0;2191.88;86;86;28;0;1;2;0;0;0;0
1550;31/1/2020;PROD_2;N;10000.0;26/1/2018;5/2/2021;37;1106;303.09;MENS;V;14.9;CONSUMO;A1;3247.18;0.0;0.0;0.0;0;3247.18;0;0;0;0;0;0;0;0;0;0
1557;31/1/2020;PROD_2;N;3500.0;30/1/2018;15/2/2020;25;746;150.02;MENS;V;14.9;CONSUMO;C1;332.56;105.01;0.0;0.0;0;437.57;47;95;27;0;4;2;1;0;0;0
1566;31/1/2020;PROD_2;N;15000.0;31/1/2018;15/8/2021;43;1292;406.01;MENS;V;14.9;CONSUMO;B2;6858.71;284.21;0.0;0.0;0;7142.92;32;32;2;0;1;0;0;0;0;0
1571;31/1/2020;PROD_2;N;5000.0;31/1/2018;3/2/2021;37;1099;152.49;MENS;V;14.9;CONSUMO;A1;1837.68;0.0;0.0;0.0;0;1837.68;0;3;1;0;0;0;0;0;0;0
1588;31/1/2020;PROD_2;N;20000.0;6/2/2018;10/2/2021;36;1100;617.63;MENS;V;14.9;CONSUMO;B1;0.0;392.54;8333.24;0.0;0;8725.78;21;75;22;0;2;2;0;0;0;0
1596;31/1/2020;PROD_2;N;20000.0;7/2/2018;9/2/2021;36;1098;609.92;MENS;V;14.9;CONSUMO;A1;7350.74;0.0;0.0;0.0;0;7350.74;0;5;2;0;0;0;0;0;0;0
1598;31/1/2020;PROD_2;N;10000.0;7/2/2018;15/8/2021;42;1285;270.66;MENS;V;14.9;CONSUMO;A1;4572.34;0.0;0.0;0.0;0;4572.34;0;21;7;0;0;0;0;0;0;0
1599;31/1/2020;PROD_2;N;20000.0;8/2/2018;10/2/2022;48;1463;438.52;MENS;V;14.9;CONSUMO;A1;2325.08;0.0;0.0;0.0;0;2325.08;0;111;34;0;3;2;2;0;0;0
1612;31/1/2020;PROD_2;N;10000.0;10/2/2018;15/2/2021;36;1101;304.96;MENS;V;14.9;CONSUMO;A1;3675.37;0.0;0.0;0.0;0;3675.37;0;1;1;0;0;0;0;0;0;0
1619;31/1/2020;PROD_2;N;5000.0;14/2/2018;17/2/2020;24;733;212.51;MENS;V;14.9;CONSUMO;A1;267.98;0.0;0.0;0.0;0;267.98;0;43;9;0;1;0;0;0;0;0
